Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 127.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 22:47:53,2024-09-16 22:47:54,"0,398s",PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 127.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 22:47:54,2024-09-16 22:47:54,"0,445s",PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 127.0.0.0,Klik button add to cart,,2024-09-16 22:47:54,2024-09-16 22:47:54,"0,391s",PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 127.0.0.0,Verifikasi button remove terlihat,,2024-09-16 22:47:54,2024-09-16 22:47:55,"0,545s",PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 127.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 22:47:55,2024-09-16 22:47:55,"0,369s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:47:55,2024-09-16 22:47:56,"0,515s",PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 127.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 22:47:56,2024-09-16 22:47:56,"0,434s",PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 127.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 22:47:56,2024-09-16 22:47:57,"0,373s",PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 127.0.0.0,Klik button add to cart,,2024-09-16 22:47:57,2024-09-16 22:47:57,"0,423s",PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bolt T-Shirt""))",Chrome 127.0.0.0,Verifikasi button remove terlihat,,2024-09-16 22:47:57,2024-09-16 22:47:58,"0,458s",PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bolt T-Shirt""))",Chrome 127.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 22:47:58,2024-09-16 22:47:58,"0,469s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:47:58,2024-09-16 22:47:58,"0,509s",PASSED
Video,Chrome 127.0.0.0,,,2024-09-16 22:48:01,2024-09-16 22:48:01,"0,001s",PASSED
,,,,,,,
Test Cases/Cart_Page/Positive_Case/ProductCart,Chrome 127.0.0.0,,,2024-09-16 22:48:01,2024-09-16 22:48:12,"10,938s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 127.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 22:48:01,2024-09-16 22:48:02,"0,403s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 22:48:02,2024-09-16 22:48:02,"0,365s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 127.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 22:48:02,2024-09-16 22:48:02,"0,380s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger terlihat,,2024-09-16 22:48:02,2024-09-16 22:48:03,"0,387s",PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 127.0.0.0,Verifikasi Button Burger dapat diklik,,2024-09-16 22:48:03,2024-09-16 22:48:03,"0,380s",PASSED
