Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
YourInformation_Checkout,Chrome 128.0.0.0,,,2024-09-16 18:50:46,2024-09-16 18:52:44,1m - 58.460s,FAILED
,,,,,,,
Test Cases/Login_Page/Positive_Case/Login,Chrome 128.0.0.0,,,2024-09-16 18:50:46,2024-09-16 18:51:00,13.909s,PASSED
openBrowser(loginUrl),Chrome 128.0.0.0,Buka browser dan navigasi ke URL,,2024-09-16 18:50:47,2024-09-16 18:50:50,2.999s,PASSED
maximizeWindow(),Chrome 128.0.0.0,Maximize window browser,,2024-09-16 18:50:50,2024-09-16 18:50:50,0.898s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi Title Login terlihat,,2024-09-16 18:50:50,2024-09-16 18:50:52,1.671s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Username""))",Chrome 128.0.0.0,Verifikasi Text Field username terlihat,,2024-09-16 18:50:52,2024-09-16 18:50:52,0.331s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Password""))",Chrome 128.0.0.0,Verifikasi Text Field password terlihat,,2024-09-16 18:50:52,2024-09-16 18:50:53,0.318s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Verifikasi Button login terlihat,,2024-09-16 18:50:53,2024-09-16 18:50:53,0.325s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:50:53,2024-09-16 18:50:53,0.362s,PASSED
"setText(findTestObject(""Login_Page/TextArea_Username""), userName)",Chrome 128.0.0.0,Input username pada field,,2024-09-16 18:50:53,2024-09-16 18:50:54,0.704s,PASSED
"username = getAttribute(findTestObject(""Login_Page/TextArea_Username""), ""value"")",Chrome 128.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 18:50:54,2024-09-16 18:50:55,0.329s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:50:55,2024-09-16 18:50:55,0.323s,PASSED
"pass = setText(findTestObject(""Login_Page/TextArea_Password""), password)",Chrome 128.0.0.0,Input password pada field,,2024-09-16 18:50:55,2024-09-16 18:50:56,0.680s,PASSED
"getAttribute(findTestObject(""Login_Page/TextArea_Password""), ""value"")",Chrome 128.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 18:50:56,2024-09-16 18:50:56,0.324s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:50:56,2024-09-16 18:50:56,0.323s,PASSED
"verifyElementClickable(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Verifikasi button Login dapat diklik,,2024-09-16 18:50:56,2024-09-16 18:50:56,0.318s,PASSED
"click(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Klik button Login,,2024-09-16 18:50:56,2024-09-16 18:50:57,0.392s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Label_TitleProducts""))",Chrome 128.0.0.0,Verifikasi title product pada product page tampil,,2024-09-16 18:50:57,2024-09-16 18:50:57,0.473s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:50:57,2024-09-16 18:50:58,0.583s,PASSED
Video,Chrome 128.0.0.0,,,2024-09-16 18:51:00,2024-09-16 18:51:00,0.001s,PASSED
,,,,,,,
Test Cases/Product_Page/Positive_Case/AddToCart_Products,Chrome 128.0.0.0,,,2024-09-16 18:51:00,2024-09-16 18:51:14,14.078s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 18:51:00,2024-09-16 18:51:01,0.318s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 18:51:01,2024-09-16 18:51:01,0.339s,PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 18:51:01,2024-09-16 18:51:01,0.313s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 128.0.0.0,Verifikasi Button Burger terlihat,,2024-09-16 18:51:01,2024-09-16 18:51:02,0.316s,PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 128.0.0.0,Verifikasi Button Burger dapat diklik,,2024-09-16 18:51:02,2024-09-16 18:51:02,0.317s,PASSED
packaged.verifyproduct.verifyProductName(),Chrome 128.0.0.0,Verifikasi apakah nama product sesuai dengan product data di Excel,,2024-09-16 18:51:02,2024-09-16 18:51:05,3.395s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:51:05,2024-09-16 18:51:06,0.379s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 18:51:06,2024-09-16 18:51:06,0.327s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 18:51:06,2024-09-16 18:51:06,0.317s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 18:51:06,2024-09-16 18:51:07,0.360s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 18:51:07,2024-09-16 18:51:07,0.440s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 18:51:07,2024-09-16 18:51:07,0.320s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:51:07,2024-09-16 18:51:08,0.381s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 18:51:08,2024-09-16 18:51:08,0.327s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 18:51:08,2024-09-16 18:51:08,0.317s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 18:51:08,2024-09-16 18:51:09,0.364s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 18:51:09,2024-09-16 18:51:09,0.453s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 18:51:09,2024-09-16 18:51:10,0.297s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:51:10,2024-09-16 18:51:10,0.355s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 18:51:10,2024-09-16 18:51:10,0.311s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 18:51:10,2024-09-16 18:51:11,0.315s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 18:51:11,2024-09-16 18:51:11,0.337s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 18:51:11,2024-09-16 18:51:11,0.441s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 18:51:11,2024-09-16 18:51:12,0.298s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 18:51:12,2024-09-16 18:51:12,0.356s,PASSED
Video,Chrome 128.0.0.0,,,2024-09-16 18:51:14,2024-09-16 18:51:14,0.001s,PASSED
,,,,,,,
Test Cases/Cart_Page/Positive_Case/ProductCart,Chrome 128.0.0.0,,,2024-09-16 18:51:14,2024-09-16 18:51:22,7.583s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 18:51:14,2024-09-16 18:51:15,0.318s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 18:51:15,2024-09-16 18:51:15,0.309s,PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 18:51:15,2024-09-16 18:51:15,0.299s,PASSED
