Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
YourInformation_Checkout,Chrome 128.0.0.0,,,2024-09-16 19:12:17,2024-09-16 19:14:36,2m - 18.752s,FAILED
,,,,,,,
Test Cases/Login_Page/Positive_Case/Login,Chrome 128.0.0.0,,,2024-09-16 19:12:18,2024-09-16 19:12:32,13.919s,PASSED
openBrowser(loginUrl),Chrome 128.0.0.0,Buka browser dan navigasi ke URL,,2024-09-16 19:12:18,2024-09-16 19:12:22,3.796s,PASSED
maximizeWindow(),Chrome 128.0.0.0,Maximize window browser,,2024-09-16 19:12:22,2024-09-16 19:12:22,0.069s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi Title Login terlihat,,2024-09-16 19:12:22,2024-09-16 19:12:24,1.584s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Username""))",Chrome 128.0.0.0,Verifikasi Text Field username terlihat,,2024-09-16 19:12:24,2024-09-16 19:12:24,0.324s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Password""))",Chrome 128.0.0.0,Verifikasi Text Field password terlihat,,2024-09-16 19:12:24,2024-09-16 19:12:24,0.336s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Verifikasi Button login terlihat,,2024-09-16 19:12:24,2024-09-16 19:12:25,0.321s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 19:12:25,2024-09-16 19:12:25,0.365s,PASSED
"setText(findTestObject(""Login_Page/TextArea_Username""), userName)",Chrome 128.0.0.0,Input username pada field,,2024-09-16 19:12:25,2024-09-16 19:12:26,0.676s,PASSED
"username = getAttribute(findTestObject(""Login_Page/TextArea_Username""), ""value"")",Chrome 128.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 19:12:26,2024-09-16 19:12:26,0.344s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 19:12:26,2024-09-16 19:12:26,0.323s,PASSED
"pass = setText(findTestObject(""Login_Page/TextArea_Password""), password)",Chrome 128.0.0.0,Input password pada field,,2024-09-16 19:12:26,2024-09-16 19:12:27,0.662s,PASSED
